TID: [2024-06-20 10:58:26,574]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2024-06-20 10:58:38,380]  INFO {org.wso2.carbon.andes.core.internal.ds.QueueManagerServiceDS} - Successfully created the queue manager service
TID: [] [] [2024-06-20 10:58:38,382]  INFO {org.wso2.carbon.andes.core.internal.ds.SubscriptionManagerServiceDS} - Successfully created the subscription manager service
TID: [] [] [2024-06-20 10:58:38,412]  INFO {org.wso2.carbon.apimgt.persistence.internal.PersistenceManagerComponent} - Activating PersistenceManagerComponent 
TID: [] [] [2024-06-20 10:58:38,427]  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [] [] [2024-06-20 10:58:38,435]  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [] [] [2024-06-20 10:58:39,150]  INFO {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder} - XACML policy schema loaded successfully.
TID: [] [] [2024-06-20 10:58:39,199]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm
TID: [] [] [2024-06-20 10:58:39,203]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.jdbc.UniqueIDJDBCUserStoreManager
TID: [] [] [2024-06-20 10:58:39,237]  WARN {org.wso2.carbon.identity.application.mgt.internal.ApplicationManagementServiceComponent} - Templates directory not found at /Users/pamod/Desktop/setup/deployment/am/wso2am-4.3.0/repository/resources/identity/authntemplates
TID: [] [] [2024-06-20 10:58:39,416]  WARN {org.wso2.carbon.identity.auth.valve.internal.AuthenticationValveServiceComponent} - File invalid_tenant_domain_response.html not found. The default content will be used as the error page content.
TID: [] [] [2024-06-20 10:58:39,439]  WARN {org.wso2.carbon.identity.auth.service.internal.AuthenticationServiceComponent} - 

##################################  ALERT  ##################################
[WARNING]: Internal authentication is utilizing default credentials,
which may expose the environment to potential security risks.
If this is a production environment, change the credentials immediately.
Please refer to the WSO2 security advisory: https://security.docs.wso2.com/en/latest/security-announcements/security-advisories/2023/WSO2-2023-2617/
#############################################################################

TID: [] [] [2024-06-20 10:58:39,446]  INFO {org.wso2.carbon.identity.organization.management.tenant.association.internal.TenantAssociationServiceComponent} - Organization management related TenantAssociationManagementListener registered successfully.
TID: [] [] [2024-06-20 10:58:39,653]  INFO {org.wso2.carbon.identity.local.auth.api.core.internal.AuthAPIServiceComponent} - Auth API Service Component  is activated.
TID: [] [] [2024-06-20 10:58:40,198]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccCallInterceptorService_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,199]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy setToHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,201]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addLogMessage_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,202]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugJsonFault_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,204]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugResponseFlow_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,205]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonToXML_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,207]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addHeader_v2 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,208]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy disableChunking_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,209]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy regexPolicy_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,210]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy applyAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,211]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlToJson_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,212]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy changeHTTPMethod_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,214]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonValidator_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,216]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlValidator_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,218]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy rewriteResourcePath_v3 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,220]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jwtClaimBasedAccessValidator_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,221]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy revokeOneTimeToken_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,222]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy preserveAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,224]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy removeHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,225]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy opaPolicy_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,226]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonFault_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,227]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addQueryParam_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,228]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy BackEndJWT_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-06-20 10:58:40,229]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugRequestFlow_v1 was added to the organization carbon.super successfully
