TID: [-1234] [devportal] [2024-06-21 05:07:33,559] ERROR {org.apache.jsp.services.refresh.refresh_jsp} - org.wso2.carbon.ui.filters.cache.ContentTypeBasedCachePreventionFilter$1@c780266
TID: [] [] [2024-06-21 08:21:00,975]  INFO {org.wso2.carbon.core.ServerManagement} - Waiting for server task completion...
TID: [] [] [2024-06-21 08:21:00,978]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Writing logs 
TID: [] [] [2024-06-21 08:21:00,978]  INFO {org.wso2.carbon.core.ServerManagement} - All server tasks have been completed.
TID: [] [] [2024-06-21 08:21:00,978]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Shutting down WSO2 API Manager...
TID: [] [] [2024-06-21 08:21:00,978]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:01,984]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:01,984]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#notification
TID: [] [] [2024-06-21 08:21:01,984]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:02,992]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:02,992]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#keyManager
TID: [] [] [2024-06-21 08:21:03,993]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:03,993]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#notification
TID: [] [] [2024-06-21 08:21:03,993]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:04,999]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:04,999]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#throttleData
TID: [] [] [2024-06-21 08:21:04,999]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:06,006]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:06,006]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#tokenRevocation
TID: [] [] [2024-06-21 08:21:07,013]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:07,013]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#cacheInvalidation
TID: [] [] [2024-06-21 08:21:08,019]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:08,019]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#notification
TID: [] [] [2024-06-21 08:21:09,026]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:09,026]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#throttleData
TID: [] [] [2024-06-21 08:21:10,035]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTaskManager} - Task manager for jms consumer 1000 shutdown
TID: [] [] [2024-06-21 08:21:10,035]  INFO {org.wso2.carbon.apimgt.common.jms.JMSListener} - Stopped listening for JMS messages to listener : Siddhi-JMS-Consumer#asyncWebhooksData
TID: [] [] [2024-06-21 08:21:10,035]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:10,035]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:10,036]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:10,036]  INFO {org.wso2.carbon.apimgt.common.jms.JMSTransportHandler} - Starting to Shutdown the Listener...
TID: [] [] [2024-06-21 08:21:10,044]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Shutting down OSGi framework...
TID: [] [] [2024-06-21 08:21:10,067]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Stopping CarbonServerManager...
TID: [] [] [2024-06-21 08:21:10,068]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WSS Sender Shutdown
TID: [] [] [2024-06-21 08:21:10,068]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - HTTP Sender shutdown
TID: [] [] [2024-06-21 08:21:10,068]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - HTTPS Sender shutdown
TID: [] [] [2024-06-21 08:21:10,069]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WS Sender Shutdown
TID: [] [] [2024-06-21 08:21:10,069]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpListener} - Destroying PassThroughHttpListener
TID: [] [] [2024-06-21 08:21:10,069]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpMultiSSLListener} - Destroying PassThroughHttpListener
TID: [] [] [2024-06-21 08:21:10,088]  INFO {org.wso2.carbon.event.processor.core.internal.CarbonEventProcessorService} - Successfully shutdown ExecutionPlans
TID: [] [] [2024-06-21 08:21:10,136]  INFO {org.apache.synapse.Axis2SynapseController} - Undeploying the Synapse service...
TID: [] [] [2024-06-21 08:21:10,136]  INFO {org.apache.synapse.Axis2SynapseController} - Undeploying Proxy services...
TID: [] [] [2024-06-21 08:21:10,136]  INFO {org.apache.synapse.Axis2SynapseController} - Undeploying EventSources...
TID: [] [] [2024-06-21 08:21:10,146]  INFO {org.apache.synapse.inbound.InboundEndpoint} - Destroying Inbound Endpoint: WebSocketInboundEndpoint
TID: [] [] [2024-06-21 08:21:10,148]  INFO {org.apache.synapse.inbound.InboundEndpoint} - Destroying Inbound Endpoint: SecureWebSocketEP
TID: [] [] [2024-06-21 08:21:10,150]  INFO {org.apache.synapse.inbound.InboundEndpoint} - Destroying Inbound Endpoint: WebhookServer
TID: [] [] [2024-06-21 08:21:10,150]  INFO {org.apache.synapse.transport.passthru.core.PassThroughListeningIOReactorManager} - Closing Endpoint Listener for port 9023
TID: [] [] [2024-06-21 08:21:11,155]  INFO {org.apache.synapse.transport.passthru.core.PassThroughListeningIOReactorManager} - Successfully closed Endpoint Listener for port 9023
TID: [] [] [2024-06-21 08:21:11,155]  INFO {org.apache.synapse.inbound.InboundEndpoint} - Destroying Inbound Endpoint: SecureWebhookServer
TID: [] [] [2024-06-21 08:21:11,156]  INFO {org.apache.synapse.transport.passthru.core.PassThroughListeningIOReactorManager} - Closing Endpoint Listener for port 8023
TID: [] [] [2024-06-21 08:21:12,158]  INFO {org.apache.synapse.transport.passthru.core.PassThroughListeningIOReactorManager} - Successfully closed Endpoint Listener for port 8023
TID: [] [] [2024-06-21 08:21:12,159]  INFO {org.apache.synapse.api.API} - {api:BankingPaymentsAPI:v1.0.0} Destroying API: BankingPaymentsAPI:v1.0.0
TID: [] [] [2024-06-21 08:21:12,160]  INFO {org.apache.synapse.api.API} - {api:_OpenService_} Destroying API: _OpenService_
TID: [] [] [2024-06-21 08:21:12,160]  INFO {org.apache.synapse.api.API} - {api:_JwksEndpoint_} Destroying API: _JwksEndpoint_
TID: [] [] [2024-06-21 08:21:12,160]  INFO {org.apache.synapse.task.SynapseTaskManager} - Shutting down the task manager
TID: [] [] [2024-06-21 08:21:12,166]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} - Stopped JMX reporter for Metrics
TID: [] [] [2024-06-21 08:21:12,191]  INFO {org.wso2.carbon.tomcat.ext.internal.CarbonTomcatServiceComponent} - Stopping the carbon web-app registered under : /
